Rank,Player,Team,Pos,Value
1,Luka Doncic,Dallas Mavericks,SF,21.94
2,Donovan Mitchell,Utah Jazz,SG,20.67
3,Ja Morant,Memphis Grizzlies,PG,20.62
4,Devin Booker,Phoenix Suns,SG,20.46
5,Jayson Tatum,Boston Celtics,SF,20.36
6,Kevin Durant,Brooklyn Nets,SF,20.22
7,DeMar DeRozan,Chicago Bulls,SG,20.12
8,Trae Young,Atlanta Hawks,PG,20.02
9,Giannis Antetokounmpo,Milwaukee Bucks,SF,19.37
10,Stephen Curry,Golden State Warriors,PG,19.35
11,Joel Embiid,Philadelphia 76ers,C,19.17
12,CJ McCollum,New Orleans Pelicans,SG,19.09
13,De'Aaron Fox,Sacramento Kings,PG,18.51
14,Dejounte Murray,San Antonio Spurs,PG,18.26
15,Jaylen Brown,Boston Celtics,SG,18.18
16,Brandon Ingram,New Orleans Pelicans,SF,18.11
17,Nikola Jokic,Denver Nuggets,C,17.94
18,Pascal Siakam,Toronto Raptors,PF,17.76
19,Zach LaVine,Chicago Bulls,PG,17.59
20,Darius Garland,Cleveland Cavaliers,PG,17.49
21,Anthony Edwards,Minnesota Timberwolves,SG,17.42
22,Julius Randle,New York Knicks,PF,17.31
23,RJ Barrett,New York Knicks,SF,17.06
24,LaMelo Ball,Charlotte Hornets,PG,16.83
25,Fred VanVleet,Toronto Raptors,PG,16.68
26,Reggie Jackson,Los Angeles Clippers,PG,16.39
27,Karl-Anthony Towns,Minnesota Timberwolves,C,16.11
28,Cade Cunningham,Detroit Pistons,PG,16.11
29,Tyler Herro,Miami Heat,SG,16.09
30,Terry Rozier,Charlotte Hornets,PG,16.07
31,Nikola Vucevic,Chicago Bulls,C,15.96
32,Russell Westbrook,Los Angeles Lakers,PG,15.81
33,Jimmy Butler,Miami Heat,PF,15.64
34,Gary Trent Jr.,Toronto Raptors,SG,15.37
35,Khris Middleton,Milwaukee Bucks,SF,15.37
36,Miles Bridges,Charlotte Hornets,SF,15.12
37,Jrue Holiday,Milwaukee Bucks,PG,15.05
38,James Harden,Philadelphia 76ers,SG,14.94
39,D'Angelo Russell,Minnesota Timberwolves,PG,14.79
40,Caris LeVert,Cleveland Cavaliers,SG,14.65
41,Desmond Bane,Memphis Grizzlies,SG,14.32
42,Jalen Green,Houston Rockets,SG,14.24
43,Kyle Kuzma,Washington Wizards,PF,14.18
44,Cole Anthony,Orlando Magic,PG,14.03
45,Jordan Clarkson,Utah Jazz,PG,13.95
46,Andrew Wiggins,Golden State Warriors,SF,13.94
47,Tobias Harris,Philadelphia 76ers,SF,13.93
48,Saddiq Bey,Detroit Pistons,SF,13.85
49,Jalen Brunson,Dallas Mavericks,PG,13.6
50,Keldon Johnson,San Antonio Spurs,SF,13.57
51,Buddy Hield,Indiana Pacers,SG,13.56
52,Tyrese Maxey,Philadelphia 76ers,PG,13.53
53,Bojan Bogdanovic,Utah Jazz,SF,13.45
54,Jordan Poole,Golden State Warriors,SG,13.39
55,Kevin Porter Jr.,Houston Rockets,SG,13.25
56,Jaren Jackson Jr.,Memphis Grizzlies,PF,13.24
57,Christian Wood,Houston Rockets,PF,12.91
58,Will Barton,Denver Nuggets,SG,12.66
59,Jonas Valanciunas,New Orleans Pelicans,C,12.55
60,Scottie Barnes,Toronto Raptors,SF,12.49
61,Domantas Sabonis,Sacramento Kings,PF,12.48
62,Bogdan Bogdanovic,Atlanta Hawks,SG,12.46
63,Franz Wagner,Orlando Magic,SF,12.34
64,Bam Adebayo,Miami Heat,C,12.22
65,Kelly Oubre Jr.,Charlotte Hornets,SF,12.17
66,Deandre Ayton,Phoenix Suns,C,12.13
67,Evan Fournier,New York Knicks,SG,12.06
68,Evan Mobley,Cleveland Cavaliers,C,12.04
69,Tyrese Haliburton,Indiana Pacers,PG,11.81
70,Bobby Portis,Milwaukee Bucks,PF,11.74
71,Lauri Markkanen,Cleveland Cavaliers,PF,11.65
72,John Collins,Atlanta Hawks,PF,11.58
73,Chris Paul,Phoenix Suns,PG,11.42
74,Seth Curry,Brooklyn Nets,SG,11.33
75,Dennis Schroder,Houston Rockets,PG,11.31
76,De'Andre Hunter,Atlanta Hawks,PF,11.25
77,Davion Mitchell,Sacramento Kings,PG,11.24
78,Aaron Gordon,Denver Nuggets,PF,11.1
79,Wendell Carter Jr.,Orlando Magic,C,11.03
80,Spencer Dinwiddie,Dallas Mavericks,PG,10.91
81,Lonnie Walker IV,San Antonio Spurs,SG,10.89
82,Mike Conley,Utah Jazz,PG,10.87
83,Malik Monk,Los Angeles Lakers,SG,10.87
84,Harrison Barnes,Sacramento Kings,SF,10.83
85,Marcus Smart,Boston Celtics,PG,10.83
86,Devin Vassell,San Antonio Spurs,SG,10.82
87,Kentavious Caldwell-Pope,Washington Wizards,SG,10.77
88,Malik Beasley,Minnesota Timberwolves,SG,10.49
89,Mikal Bridges,Phoenix Suns,SF,10.48
90,Carmelo Anthony,Los Angeles Lakers,SF,10.48
91,Coby White,Chicago Bulls,SG,10.44
92,Nickeil Alexander-Walker,Utah Jazz,SG,10.33
93,Monte Morris,Denver Nuggets,PG,10.3
94,Kevin Huerter,Atlanta Hawks,SG,10.21
95,Kevin Love,Cleveland Cavaliers,PF,10.18
96,Devonte' Graham,New Orleans Pelicans,PG,9.96
97,Derrick White,Boston Celtics,PG,9.96
98,Tre Mann,Oklahoma City Thunder,PG,9.8
99,Kyle Lowry,Miami Heat,PG,9.77
100,Jakob Poeltl,San Antonio Spurs,C,9.75
