,PLAYER,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,FGA,FTA
0,Giannis Antetokounmpo,2165,840,423,103,81,0.547,0.721,83,72,2432,231,18.6,11.4
1,Luka Doncic,2118,690,645,42,85,0.462,0.753,231,73,2547,322,21.6,7.5
2,Jayson Tatum,2081,589,352,43,76,0.459,0.856,238,76,2722,220,20.6,6.2
3,Trae Young,2056,293,677,9,74,0.456,0.9,234,76,2663,296,20.3,7.3
4,Joel Embiid,2045,796,262,100,75,0.498,0.826,88,67,2272,214,19.6,11.8
5,Ja Morant,2044,399,513,26,82,0.496,0.769,118,71,2414,253,20.6,7.3
6,DeMar DeRozan,2020,381,370,24,70,0.487,0.875,57,77,2745,184,20.2,7.8
7,Nikola Jokic,1993,949,613,63,107,0.565,0.826,99,76,2561,276,17.7,6.3
8,Devin Booker,1964,368,354,27,83,0.465,0.869,194,73,2537,186,20.9,5.3
9,Kevin Durant,1959,483,408,64,59,0.511,0.902,148,68,2434,232,20.3,7.4
10,LeBron James,1953,512,423,63,85,0.522,0.738,190,68,2327,221,21.8,6.0
11,Damian Lillard,1903,280,527,19,62,0.444,0.88,263,71,2547,207,19.0,6.2
12,Karl-Anthony Towns,1746,688,258,82,67,0.518,0.789,161,73,2452,228,16.4,6.3
13,Zach LaVine,1738,328,317,24,46,0.479,0.847,197,71,2452,180,17.7,5.6
14,Jaylen Brown,1738,450,262,22,82,0.472,0.762,185,73,2476,190,18.4,4.8
15,Bradley Beal,1737,330,435,25,69,0.463,0.842,139,71,2535,224,10.75639810426539,2.6464454976303333
16,Zion Williamson,1736,462,251,39,58,0.602,0.705,18,63,2099,168,10.75639810426539,2.6464454976303333
17,Shai Gilgeous-Alexander,1727,325,378,48,82,0.467,0.824,126,67,2368,197,18.8,7.2
18,Anthony Edwards,1705,343,307,45,109,0.444,0.788,239,74,2609,196,17.3,3.9
19,Stephen Curry,1681,338,419,21,86,0.448,0.919,296,67,2261,212,19.1,4.7
20,Donovan Mitchell,1669,289,391,14,97,0.456,0.842,209,73,2461,196,20.5,4.7
21,Jalen Green,1666,267,235,21,55,0.445,0.806,224,74,2513,161,14.2,3.5
