PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"Luka Doncic (DAL - PG,SG) ","2,254",659,698,36,87,0.482,0.747,238,78,"2,697",325
"Bradley Beal (WAS - SG,SF) ","2,209",366,418,31,93,0.469,0.867,184,73,"2,640",221
"Stephen Curry (GSW - PG,SG) ","2,195",393,421,14,94,0.474,0.928,374,75,"2,592",240
"Giannis Antetokounmpo (MIL - PF,C) ","2,129",863,427,86,93,0.58,0.685,87,77,"2,565",255
Damian Lillard (POR - PG) ,"2,126",317,543,21,73,0.453,0.914,303,77,"2,762",215
"Jayson Tatum (BOS - SF,PF) ","2,107",560,337,49,92,0.462,0.852,232,78,"2,785",209
Zion Williamson (NOR - PF) OUT ,"2,096",523,339,50,71,0.614,0.695,14,74,"2,487",188
"Nikola Jokic (DEN - PF,C) ","2,016",822,589,58,105,0.552,0.839,109,77,"2,685",241
"Devin Booker (PHO - SG,SF,PG) ","1,961",323,360,17,61,0.483,0.881,151,77,"2,697",239
Trae Young (ATL - PG) ,"1,957",304,712,15,65,0.446,0.874,197,78,"2,683",298
"Zach LaVine (CHI - SG,SF) ","1,939",360,332,37,62,0.489,0.843,238,74,"2,585",238
"James Harden (BKN - PG,SG) ","1,912",554,766,59,100,0.48,0.875,225,76,"2,755",294
"Donovan Mitchell (UTH - PG,SG) ","1,907",325,364,20,79,0.444,0.836,234,75,"2,555",199
"Kevin Durant (BKN - SF,PF) ","1,900",490,349,77,52,0.536,0.889,161,72,"2,450",224
"Joel Embiid (PHI - PF,C) ","1,876",777,209,96,66,0.499,0.828,82,69,"2,146",216
De'Aaron Fox (SAC - PG) ,"1,840",259,550,35,113,0.487,0.725,117,76,"2,626",211
"Paul George (LAC - SF,PF,SG) ","1,817",500,355,34,99,0.456,0.882,255,74,"2,568",235
"LeBron James (LAL - PG,SG,SF,PF) ","1,806",583,580,46,83,0.518,0.719,154,77,"2,592",245
Karl-Anthony Towns (MIN - C) ,"1,790",758,287,94,59,0.495,0.812,189,73,"2,497",224
"Jaylen Brown (BOS - SG,SF) OUT ","1,780",436,234,39,88,0.481,0.759,209,74,"2,552",194
"Brandon Ingram (NOR - SF,PF) ","1,717",373,328,36,56,0.467,0.851,153,74,"2,571",186
"Collin Sexton (CLE - PG,SG) ","1,701",239,294,14,80,0.474,0.828,119,76,"2,674",190
"Anthony Edwards (MIN - SG,SF) ","1,698",384,281,39,94,0.435,0.786,219,79,"2,702",192
"Anthony Davis (LAL - PF,C) ","1,691",622,200,133,93,0.517,0.783,61,73,"2,429",157
"Julius Randle (NYK - PF,C) ","1,680",725,350,24,65,0.459,0.784,143,77,"2,748",235
Ja Morant (MEM - PG) ,"1,678",326,614,25,76,0.476,0.763,114,76,"2,572",251
"Shai Gilgeous-Alexander (OKC - PG,SG) ","1,674",345,394,47,72,0.481,0.811,151,75,"2,609",205
"CJ McCollum (POR - PG,SG) ","1,663",308,307,29,69,0.456,0.799,254,75,"2,653",122
Nikola Vucevic (CHI - C) ,"1,561",849,242,59,62,0.489,0.83,147,75,"2,496",140
"Khris Middleton (MIL - SF,PF,SG) ","1,555",433,381,11,84,0.469,0.887,180,77,"2,546",195
"Christian Wood (HOU - PF,C) ","1,513",640,119,81,59,0.531,0.671,128,72,"2,338",149
"Jerami Grant (DET - SF,PF) ","1,504",337,170,91,47,0.45,0.82,154,76,"2,573",134
"DeMar DeRozan (CHI - SF,PF,SG) ","1,499",338,391,20,73,0.504,0.867,23,77,"2,610",156
"Michael Porter Jr. (DEN - SF,PF) ","1,497",579,96,66,56,0.522,0.798,223,73,"2,323",116
"Jimmy Butler (MIA - SF,PF,SG) ","1,477",401,370,28,132,0.484,0.851,46,73,"2,496",156
"Domantas Sabonis (IND - PF,C) ","1,460",886,457,38,79,0.564,0.73,47,75,"2,585",222
Russell Westbrook III (LAL - PG) ,"1,451",666,627,24,100,0.46,0.719,76,76,"2,579",271
"Kristaps Porzingis (DAL - PF,C) ","1,441",620,118,101,39,0.466,0.838,159,70,"2,214",101
"Tobias Harris (PHI - SF,PF) ","1,440",533,245,58,68,0.499,0.87,111,76,"2,592",128
"D'Angelo Russell (MIN - PG,SG) ","1,439",210,444,27,87,0.431,0.775,222,72,"2,230",201
